date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:13	17178/17178	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Dec%202018%2014:55:13%20GMT	https://colorlib.com/preview/theme/loaft/index.html	C:/My%20Web%20Sites/website2/colorlib.com/preview/theme/loaft/index.html	(from )
16:23:13	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
16:23:14	4169/4169	---M--	200	added ('OK')	image/png	etag:%225c0bdb75-1049%22	https://colorlib.com/preview/theme/loaft/img/favicon.png	C:/My%20Web%20Sites/website2/colorlib.com/preview/theme/loaft/img/favicon.png	(from https://colorlib.com/preview/theme/loaft/index.html)
16:23:15	183481/183481	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bdb5d-2ccb9%22	https://colorlib.com/preview/theme/loaft/css/bootstrap.css	C:/My%20Web%20Sites/website2/colorlib.com/preview/theme/loaft/css/bootstrap.css	(from https://colorlib.com/preview/theme/loaft/index.html)
16:23:16	8344/8344	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bdc9a-2098%22	https://colorlib.com/preview/theme/loaft/vendors/linericon/style.css	C:/My%20Web%20Sites/website2/colorlib.com/preview/theme/loaft/vendors/linericon/style.css	(from https://colorlib.com/preview/theme/loaft/index.html)
16:23:16	27466/27466	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bdb5e-6b4a%22	https://colorlib.com/preview/theme/loaft/css/font-awesome.min.css	C:/My%20Web%20Sites/website2/colorlib.com/preview/theme/loaft/css/font-awesome.min.css	(from https://colorlib.com/preview/theme/loaft/index.html)
16:23:17	2936/2936	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bdc9d-b78%22	https://colorlib.com/preview/theme/loaft/vendors/owl-carousel/owl.carousel.min.css	C:/My%20Web%20Sites/website2/colorlib.com/preview/theme/loaft/vendors/owl-carousel/owl.carousel.min.css	(from https://colorlib.com/preview/theme/loaft/index.html)
16:23:18	4007/4007	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bdd18-fa7%22	https://colorlib.com/preview/theme/loaft/vendors/nice-select/css/nice-select.css	C:/My%20Web%20Sites/website2/colorlib.com/preview/theme/loaft/vendors/nice-select/css/nice-select.css	(from https://colorlib.com/preview/theme/loaft/index.html)
16:23:19	72259/72259	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bdc70-11a43%22	https://colorlib.com/preview/theme/loaft/vendors/animate-css/animate.css	C:/My%20Web%20Sites/website2/colorlib.com/preview/theme/loaft/vendors/animate-css/animate.css	(from https://colorlib.com/preview/theme/loaft/index.html)
16:23:20	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bdca3-1b27%22	https://colorlib.com/preview/theme/loaft/vendors/popup/magnific-popup.css	C:/My%20Web%20Sites/website2/colorlib.com/preview/theme/loaft/vendors/popup/magnific-popup.css	(from https://colorlib.com/preview/theme/loaft/index.html)
